eoname,KOATUU_2020,id,Код ЄДРПОУ,url,title_opendatabot
Загальноосвітня середня школа І-ІІІ ступенів с. Стрілки Старосамбірського району Львівської області,4625185701,загальноосвтнясередняшкола3ступенвселастрлкистаросамбрськогорайонульввськообласт,,https://opendatabot.ua/c/22385928,Опорний заклад загальної середньої освіти і-ііі ступенів ім. о. михайла вербицького с. стрілки стрілківської сільської ради самбірського району львівської області Код ЄДРПОУ 22385928 — Опендатабот
Липовецька загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,2125385001,липовецьказагальноосвтняшкола3ступенвхустськорайонодержавноадмнстрацзакарпатськообласт,,https://opendatabot.ua/c/34901050,Липовецький заклад загальної середньої освіти i-iii ступенів хустської міської ради закарпатської області Код ЄДРПОУ 34901050 — Опендатабот
"Опорний навчальний заклад ""Апостолівська загальноосвітня школа І-ІІІ ступенів № 1 Апостолівської міської ради Апостолівського району Дніпропетровської області""",1220310100,опорнийнавчальнийзакладапостолвськазагальноосвтняшкола3ступенв№1апостолвськомськорадиапостолвськогорайонуднпропетровськообласт,,https://opendatabot.ua/c/20293010,Апостолівський ліцей № 1 апостолівської міської ради криворізького району дніпропетровської області Код ЄДРПОУ 20293010 — Опендатабот
Городенківський професійний ліцей,2621610100,городенквськийпрофесйнийлцей,,https://opendatabot.ua/c/02544253,"Державний навчальний заклад ""ГОРОДЕНКІВСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ"" Код ЄДРПОУ 02544253 — Опендатабот"
Комунальний навчальний заклад Ходорівської міської ради Львівської області загальноосвітня школа І-ІІІ ступенів №9 с.Отиневичі,4621510531,комунальнийнавчальнийзакладходорвськомськорадильввськообластзагальноосвтняшкола3ступенв№9селаотиневич,,https://opendatabot.ua/c/22351148,Комунальний навчальний заклад ходорівської міської ради львівської області загальноосвітня школа i ступеня №19 с.рудківці Код ЄДРПОУ 22351148 — Опендатабот
"Сестринівський загальноосвітній навчально-виховний комплекс І-ІІІ ступенів ""Школа-дитячий садок"" імені Михайла Грушевського",521487003,сестринвськийзагальноосвтнйнавчальновиховнийкомплекс3ступенвшколадитячийсадокменмихайлагрушевського,,https://opendatabot.ua/c/35469660,"Комунальний заклад ""СЕСТРИНІВСЬКА ГІМНАЗІЯ ІМ. М. ГРУШЕВСЬКОГО КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ"" Код ЄДРПОУ 35469660 — Опендатабот"
"Опорний заклад загальної середньої освіти ""Куликівська загальноосвітня школа І-ІІІ ступенів Жовківської районної ради Львівської області""",4622755600,опорнийзакладзагальносередньоосвтикуликвськазагальноосвтняшкола3ступенвжовквськорайонорадильввськообласт,,https://opendatabot.ua/c/22356944,Куликівський опорний заклад загальної середньої освіти і-ііі ступенів куликівської селищної ради львівського району львівської області Код ЄДРПОУ 22356944 — Опендатабот
Лиманівська загальноосвітня школа I-III ступенів Жовтневої районної ради Миколаївської області,4823380602,лиманвськазагальноосвтняшкола3ступенвжовтневорайонорадимиколавськообласт,,https://opendatabot.ua/c/26086795,"Заклад загальної середньої освіти ""ЛИМАНІВСЬКИЙ ЛІЦЕЙ ГАЛИЦИНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ МИКОЛАЇВСЬКОГО РАЙОНУ МИКОЛАЇВСЬКОЇ ОБЛАСТІ"" Код ЄДРПОУ 26086795 — Опендатабот"
"ДНЗ ""Вільнянський професійний ліцей""",2321510100,днзвльнянськийпрофесйнийлцей,,https://opendatabot.ua/c/20507190,"Державний навчальний заклад ""ВІЛЬНЯНСЬКИЙ ПРОФЕСІЙНИЙ ЛІЦЕЙ"" Код ЄДРПОУ 20507190 — Опендатабот"
Комунальний заклад загальної середньої освіти I-III ступенів №9 Вінницької міської ради,510100000,комунальнийзакладзагальносередньоосвти3ступенв№9вницькомськоради,,https://opendatabot.ua/c/26176239,"Комунальний заклад ""ВІННИЦЬКИЙ ЛІЦЕЙ № 9"" Код ЄДРПОУ 26176239 — Опендатабот"
